seed,Line of Sight,Nonlinear Stabilization,Proposed AI,Pure Pursuit,Vector Field
0,0.4,0.3720930391235479,0.6261435884143995,0.22770856892304656,0.4025730700666209
1,0.4326993882356887,0.4039323322665238,0.5141469736655158,0.24149673836830718,0.48662890433238537
2,0.5577936059467382,0.4856577370726335,0.6081150587492912,0.18171834372094792,0.42924057016917894
3,0.4408788672647181,0.3928995021920244,0.5913043478260869,0.20247036833643722,0.7399675855794354
4,0.4279162028073669,0.5812384958009159,0.6675970523313085,0.4686967855749364,0.43078714982138405
5,0.6067776184542456,0.4055963634529605,0.7410631618222077,0.3712662817247998,0.18983509851925515
6,0.3452513966480446,0.3018974436333667,0.4787374787998515,0.2809222522389605,0.9230502701323315
7,0.42021877780871897,0.3920481304593162,0.4272653317583607,0.39934567301283,0.5617950932389092
8,0.3417165380787965,0.8955951328077237,0.3689392791701953,0.33294507495071035,0.8749329616905115
9,0.473023160597658,0.7402903133634945,0.4747893431055152,0.5439999999999999,0.5734579524692316
