seed,shape,method,threshold,success
0,straight,Pure Pursuit,4.0,16.943521594684384
0,straight,Pure Pursuit,6.0,24.25249169435216
0,straight,Pure Pursuit,8.0,29.568106312292358
0,straight,Pure Pursuit,10.0,33.222591362126245
0,straight,Pure Pursuit,12.0,37.54152823920266
0,straight,Pure Pursuit,15.0,45.51495016611295
0,straight,Pure Pursuit,20.0,55.48172757475083
0,straight,Line of Sight,4.0,22.92358803986711
0,straight,Line of Sight,6.0,31.893687707641195
0,straight,Line of Sight,8.0,39.202657807308974
0,straight,Line of Sight,10.0,44.18604651162791
0,straight,Line of Sight,12.0,52.159468438538205
0,straight,Line of Sight,15.0,60.46511627906976
0,straight,Line of Sight,20.0,72.75747508305648
0,straight,Vector Field,4.0,9.30232558139535
0,straight,Vector Field,6.0,9.634551495016613
0,straight,Vector Field,8.0,9.966777408637874
0,straight,Vector Field,10.0,9.966777408637874
0,straight,Vector Field,12.0,12.956810631229235
0,straight,Vector Field,15.0,22.591362126245848
0,straight,Vector Field,20.0,34.21926910299003
0,straight,Nonlinear Stabilization,4.0,15.282392026578073
0,straight,Nonlinear Stabilization,6.0,21.262458471760798
0,straight,Nonlinear Stabilization,8.0,24.916943521594686
0,straight,Nonlinear Stabilization,10.0,26.910299003322258
0,straight,Nonlinear Stabilization,12.0,29.900332225913623
0,straight,Nonlinear Stabilization,15.0,34.55149501661129
0,straight,Nonlinear Stabilization,20.0,39.8671096345515
0,straight,Proposed AI,4.0,14.285714285714285
0,straight,Proposed AI,6.0,16.27906976744186
0,straight,Proposed AI,8.0,18.272425249169437
0,straight,Proposed AI,10.0,19.93355481727575
0,straight,Proposed AI,12.0,21.262458471760798
0,straight,Proposed AI,15.0,23.920265780730897
0,straight,Proposed AI,20.0,30.564784053156146
0,circle,Pure Pursuit,4.0,10.96345514950166
0,circle,Pure Pursuit,6.0,17.940199335548172
0,circle,Pure Pursuit,8.0,23.25581395348837
0,circle,Pure Pursuit,10.0,33.222591362126245
0,circle,Pure Pursuit,12.0,42.524916943521596
0,circle,Pure Pursuit,15.0,55.48172757475083
0,circle,Pure Pursuit,20.0,69.76744186046511
0,circle,Line of Sight,4.0,17.940199335548172
0,circle,Line of Sight,6.0,28.903654485049834
0,circle,Line of Sight,8.0,36.87707641196013
0,circle,Line of Sight,10.0,46.51162790697674
0,circle,Line of Sight,12.0,52.823920265780735
0,circle,Line of Sight,15.0,59.136212624584715
0,circle,Line of Sight,20.0,69.10299003322258
0,circle,Vector Field,4.0,19.601328903654487
0,circle,Vector Field,6.0,28.57142857142857
0,circle,Vector Field,8.0,33.5548172757475
0,circle,Vector Field,10.0,37.54152823920266
0,circle,Vector Field,12.0,39.8671096345515
0,circle,Vector Field,15.0,45.182724252491695
0,circle,Vector Field,20.0,52.159468438538205
0,circle,Nonlinear Stabilization,4.0,15.614617940199334
0,circle,Nonlinear Stabilization,6.0,20.26578073089701
0,circle,Nonlinear Stabilization,8.0,24.916943521594686
0,circle,Nonlinear Stabilization,10.0,30.89700996677741
0,circle,Nonlinear Stabilization,12.0,37.2093023255814
0,circle,Nonlinear Stabilization,15.0,45.182724252491695
0,circle,Nonlinear Stabilization,20.0,60.13289036544851
0,circle,Proposed AI,4.0,6.312292358803987
0,circle,Proposed AI,6.0,11.627906976744185
0,circle,Proposed AI,8.0,19.269102990033225
0,circle,Proposed AI,10.0,25.91362126245847
0,circle,Proposed AI,12.0,30.89700996677741
0,circle,Proposed AI,15.0,37.2093023255814
0,circle,Proposed AI,20.0,46.51162790697674
